Variable,Coeficiente,Importancia
Contract_Two year,-0.7971228138378617,0.7971228138378617
InternetService_No,-0.6349998114577116,0.6349998114577116
Contract_Month-to-month,0.6107714996304368,0.6107714996304368
OnlineSecurity,-0.4982199615638457,0.4982199615638457
TechSupport,-0.4556763749605524,0.4556763749605524
PhoneService,-0.43179877229860875,0.43179877229860875
InternetService_Fiber optic,0.3912871323585163,0.3912871323585163
MultipleLines_No,-0.3343648283858702,0.3343648283858702
PaperlessBilling,0.2978188910118297,0.2978188910118297
OnlineBackup,-0.2543604991261228,0.2543604991261228
